"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Cereal production (metric tons)","AG.PRD.CREL.MT","","3695000","3696000","3378000","3732000","3785000","3489000","3826000","3916000","4038000","3512000","3319000","3950000","4270000","4351000","4481000","4624000","4147000","4382000","4214000","4072000","3893000","3724000","3591000","3418000","3242000","3084000","3394000","2997000","2834000","2705000","2721302","2470000","2981774","3144000","3242179","3241915","3682723","3875506","3256396","1940000","2108000","3737000","4381000","3560000","5425000","4638000","5786000","3950000","6514000","5957000","4681020","6379000","6520329","6747979","5816151","5537315","4900051","4140568","","",
"Angola","AGO","Cereal production (metric tons)","AG.PRD.CREL.MT","","544000","543000","515000","564000","562000","502000","515000","526148","648090","575915","522928","513417","548578","513764","558000","563000","430000","475000","361000","435000","316000","315000","337000","321000","308000","341400","364400","334400","272400","248500","372060","401800","322000","285000","296000","519376","448888","609612","541183","519635","601120","733819","736542","742341","914886","723305","780963","754711","1056844","1181944","1412826","509545","1674598","1823194","2019275","2423924","2890827","2444745","","",
"Albania","ALB","Cereal production (metric tons)","AG.PRD.CREL.MT","","293932","313508","293449","350144","335293","433094","487464","502090","528519","538749","547485","585830","625498","646200","666500","857000","910400","932800","963800","880600","904200","970400","1067000","1039400","994900","1046000","1025800","997630","1033350","897000","446152","428918","665720","646026","645400","503714","602043","605746","497500","565800","502500","518800","488500","498800","511200","507500","493600","608500","630900","693800","701200","697400","702870","700370","695000","698430","701734","678196","","",
"Andorra","AND","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Cereal production (metric tons)","AG.PRD.CREL.MT","","13104912","19771628","19321794","17941867","18686885","14971449","18512417","22830435","20001228","19305161","20032849","24503491","17623838","21368958","21599348","24431801","17183915","21559772","19865834","23890773","21089986","22832562","21389745","20130202","27996245","29485438","26625716","32625534","30266564","35234120","40770558","36787009","36429802","41215201","33764075","46999725","34594359","40959364","36068066","32528822","38572944","42637740","49531118","48954935","46456726","52386746","43422883","40865187","51641758","44672755","49615999","52385066","60100064","57430988","54352426","49698144","52395230","58142520","","",
"United Arab Emirates","ARE","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","14","242","785","906","757","1780","1276","1536","1300","1175","874","544","1201","2877","6014","6779","4492","4952","4972","4701","4498","4309","4047","4037","3643","3134","2373","2210","2157","2217","1860","2378","3401","5336","4590","3779","772","2694","3809","6101","17257","9056","","",
"Argentina","ARG","Cereal production (metric tons)","AG.PRD.CREL.MT","","14512100","13961600","17331100","20821300","13843800","17317600","19575100","16296600","18477000","19922000","21975800","18834100","23861300","23608900","23040800","24891700","22506800","27700200","25071000","18652400","30014200","34328400","31687000","31849300","28074800","26130800","22947900","22336300","18133270","19142700","22743960","25600220","25434121","23700667","26170678","24135124","36926490","40294667","32157646","38086960","36632775","34872639","32275169","34452438","41579427","32263201","42356370","44731736","26029790","40266747","50670016","47449657","50703913","50874215","55979853","61147070","76396702","70591016","","",
"Armenia","ARM","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","299949","306410","227620","248200","312800","254180","322730","292212","216970","360144","407583","305303","451641","391829","208587","447554","409182","369077","321954","435470","451049","543659","574673","595757","598966","298029","334342","","",
"American Samoa","ASM","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","30","18","30","45","60","80","92","28","37","60","51","30","35","96","29","45","59","68","29","38","40","48","57","60","50","55","51","50","49","45","49","49","49","50","48","51","50","55","60","61","65","65","68","66","63","72","70","72","71","72","73","74","75","","",
"Australia","AUS","Cereal production (metric tons)","AG.PRD.CREL.MT","","9149882","11143648","11812267","13001568","9684056","16585035","9873734","18905065","14250318","12904533","14840092","10781927","16997800","16367969","17767379","17448064","14417267","25274482","23343860","16402312","23703676","14186565","31068963","28602111","24942194","24001774","19899619","21891006","22375364","23045332","18747862","25261706","26805757","15410973","27389413","35645886","31238927","33339400","35368800","34446938","34718061","38590113","17553202","42384122","34357112","40504980","17771911","26866214","34140448","33464874","39973082","43362426","35589236","38419626","37194952","35229204","50048408","33860883","","",
"Austria","AUT","Cereal production (metric tons)","AG.PRD.CREL.MT","","2274011","2305937","2229471","2349312","2019628","2648957","2934871","3046205","3406075","3070552","3545643","3318492","3787094","4014005","3704116","4277716","4203640","4628713","3982485","4826198","4356211","5026041","5075517","5353319","5551181","5108350","4964599","5359343","5009116","5289752","5044859","4322590","4206456","4435935","4451882","4494852","5010607","4772665","4809095","4494383","4837094","4762612","4269510","5323714","4907057","4467510","4766039","5756464","5164152","4866648","5712207","4883379","4599433","5720309","4853895","5701697","4874849","4813238","","",
"Azerbaijan","AZE","Cereal production (metric tons)","AG.PRD.CREL.MT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1325023","1136987","1024216","909592","999404","1074721","915652","1065306","1496224","1955915","2133184","1993208","2086640","2056186","2011622","1943653","2419911","2903361","1928779","2370823","2707274","2856572","2297996","2898559","2965670","2824527","3181818","","",
"Burundi","BDI","Cereal production (metric tons)","AG.PRD.CREL.MT","","130000","129150","130080","148680","148278","152037","154700","164900","162233","168887","171722","155486","175827","143009","179475","181600","185500","202042","213400","216600","227000","221000","227000","224000","256000","266000","279300","291700","295900","293300","299800","306100","299700","224724","269037","272649","304757","260539","264518","254735","283645","292395","282588","290589","296951","296904","302211","298181","310616","322678","337662","256889","254054","236310","259806","467773","342669","425802","","",
"Belgium","BEL","Cereal production (metric tons)","AG.PRD.CREL.MT","","1885559","2063184","1959365","2091825","1974178","1610763","2193351","2060519","1936803","1713892","2118812","2146215","2301305","2265845","1619716","1872856","1823334","2186720","2144554","2040803","2023015","2221844","1962443","2533386","2227168","2402767","2062716","2351145","2373537","2119214","2214793","2165192","2310758","2174310","2143882","2571285","2393193","2598660","2445489","2513100","2358600","2639300","2560990","2931988","2786575","2684227","2718733","3113270","3255409","3041408","2939102","2957908","3097497","3162852","3163733","2287774","2764392","2483008","","",
"Benin","BEN","Cereal production (metric tons)","AG.PRD.CREL.MT","","290434","286798","278549","294532","286772","262408","313677","291772","274553","284987","238061","271788","344166","335444","298579","277970","326072","417890","389148","345952","361635","352337","351157","483030","535415","496618","400650","556977","565013","545898","584864","609496","625249","645357","734332","714355","876553","867173","974484","993383","942790","1086000","1042770","1108856","1151853","1095952","1158679","1267588","1508142","1333436","1544233","1576091","1791888","1714040","1643227","1814289","1897504","2315556","","",
"Burkina Faso","BFA","Cereal production (metric tons)","AG.PRD.CREL.MT","","726079","895048","918153","1010600","953407","1000000","1035155","1084696","1037041","1065118","883608","880284","831365","1086580","1254319","995823","1109843","1169854","1180823","1047988","1270034","1209967","1119418","1089368","1583270","1889857","1637101","2100562","1951671","1517900","2454900","2478600","2527355","2232037","2307988","2481805","2013552","2656756","2699886","2279247","3109092","3119050","3564281","2901973","3649533","3680674","3108811","4358518","3626638","4560546","3666404","4898544","4869722","4469300","4189665","4567066","4063197","4991259","","",
"Bangladesh","BGD","Cereal production (metric tons)","AG.PRD.CREL.MT","","14523696","13408128","16042664","15842004","15852140","14464297","16876448","17160028","18187398","16905215","15088878","15323537","18021512","17105414","19322564","17908126","19772481","19984399","19658591","21698327","21591389","22339648","22990185","23256274","24134965","24266331","24304321","24449929","27886213","27746673","28326730","28516927","28177410","26325480","27704115","29620075","29673515","31577495","36403000","39503000","38029335","39341455","40015280","37759046","41146756","42044685","44841300","48946800","49735853","51862850","52628364","52801014","54357477","55241123","55438379","54262297","58495624","60817838","","",
