"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","43.48","43.7","41.73","46.58","48.39","47.87","53.36","54.64","55.81","50.99","46.49","54.43","57.83","59.2","60.57","64.72","54.4","60.67","59.18","58.92","57.32","56.07","54.33","52.56","50.58","48.25","48.94","46.44","44.62","44.78","56.67","53.9","56.72","58.02","58.95","59.35","62.13","63.95","59.6","50.6","52.52","63.19","69.59","62.1","77.74","74.28","85.02","73.88","93.23","89.9","81.37","94.75","93.11","100.02","95.48","104.5","96.2","91.05","","",
"Angola","AGO","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","21.01","22.35","21.84","23.76","24.61","25.71","26.36","24.79","26.22","26.22","27.29","26.77","26.77","26.62","23.43","18.15","17.19","15.96","14.22","15.44","13.76","13.59","13.58","13.8","13.81","14.48","14.54","14.53","14.34","13.93","14.93","15.92","15.5","18.98","18.74","19.01","18.16","22.31","20.7","25.58","31.39","37.11","41.17","47.61","51.73","52.71","61.34","65.25","86.07","91","100.67","78.78","113.93","96.91","99.73","103.36","104.16","98.51","","",
"Albania","ALB","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","21.37","23.53","22.55","27","24.41","29.52","30.11","32.08","32.56","33.68","34.45","35.99","39.04","39.85","40.78","45.53","48.02","48.71","50.01","47.76","49.3","51.63","58.29","53.14","52.65","53.26","54.23","47.11","55.14","49.84","36.6","40.42","47.84","47.91","48.98","48.65","50.34","53.78","49.52","51.82","53.18","52.07","54.83","58.41","58.31","61.91","61.04","70.61","75.14","82.7","87.41","93.82","93.63","95.9","99.85","104.26","105.92","106.3","","",
"Andorra","AND","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","2.81939442698721","3.19869871450688","3.16573501782349","2.80201932804315","2.93226896760868","2.87600090178696","3.57151740954769","2.98091026835931","3.64680489837291","3.89348933949858","4.08079686413104","4.15039285879002","3.98550771313226","4.79516532455754","4.70963198443794","4.30190483233791","4.74051431957329","4.76331928596445","4.00666133642617","4.12559749423235","4.73124884568307","3.9295413780418","4.37303683269951","3.98857891790365","4.87108529386453","4.73623885230199","4.28223551060159","5.349012267145","3.83817904512768","3.48799644337577","4.80225240271229","5.53285286003331","4.52843584529588","6.4163310513356","6.41081529513058","7.61405385835449","7.2752316673515","7.5867048195045","6.97002183656752","7.45870524693839","8.38499200659674","8.48276779338121","9.62449655101049","9.41175565248319","9.94941713309025","10.4062912328476","10.0206624677907","9.81571784005454","10.310209289026","8.8548615546455","10.4441783644853","0.987572132439845","0.948395447747555","0.973519257356034","","","","","","",
"United Arab Emirates","ARE","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","1.61","1.73","1.85","1.97","1.98","2.54","2.73","2.97","3.42","3.96","4.42","3.92","4.64","7.48","8.13","9.45","11.2","15.63","18.62","21.99","24.61","32.31","36.7","32.15","32.67","33.21","31.79","43.84","51.15","52.52","67.16","88.9","94.31","98.81","116.23","124.52","157.58","160.51","270.36","349.41","210.51","199.06","183.22","199.86","196.83","177.18","174.67","184.65","176.84","188.53","68.72","64.77","66.58","88.52","105.93","105.55","98.72","100.08","","",
"Argentina","ARG","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","19.53","20.05","22.15","23.81","21.07","22.63","25.82","22.29","23.38","25.14","26.66","24.17","27.11","30.37","28.81","31.39","30.78","32.89","34.59","30.74","34.91","39.99","39.06","40","38.41","38.91","38.06","40.68","34.53","38.62","41.45","42.49","40.47","43.16","48.14","45.59","52.56","61","59.83","61.1","64.05","65.81","68.43","67.12","78.09","76.11","86.43","87.84","62.37","86.41","92.75","81.61","91.07","93.75","104.56","101.69","106.74","91.52","","",
"Armenia","ARM","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.08","42.73","50.62","48.82","51.25","39.84","44.78","44.27","40.82","44.43","45.31","49.4","61.13","75.36","76.47","85.05","86.6","87.26","69.17","82.81","93.49","96.94","100.4","110.11","89.49","86.9","71.42","","",
"American Samoa","ASM","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","50.5","53.14","56.77","54.1","51.73","53.26","57.35","58.6","63.6","59.53","55.88","55.38","54.97","51.59","50.67","47.96","46.71","43.74","36.01","40.68","40.29","40.23","39.11","37.07","35.65","36.63","33.29","33.17","33.01","36.96","33.75","36.45","41.01","44.41","47.26","51.83","54.29","70.76","54.55","61.93","72.08","76.2","86.71","84.66","87.24","89.03","90.81","92.75","95.32","97.11","95.62","91.99","99.77","100.79","99.4","99.81","100.58","101.59","","",
