"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","41.35","41.88","44.52","45.96","48.54","53.81","57.11","61.44","61.75","56.54","54.94","49.62","54.89","57.34","59.84","65.37","64.81","65.52","65.94","67.2","69.28","69.77","68.01","64.25","57.67","49.42","52.69","55.24","57.54","66.76","68.18","67.79","71.71","78.65","84.63","93.19","101.92","109.37","114.58","97.61","78.52","94.64","90.03","96.68","95.08","84.32","86.17","90.94","93.69","97.57","100.05","100.81","95.89","95.48","100.64","103.88","102.55","105.01","","",
"Angola","AGO","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","24.82","25.57","26.2","27.92","29.18","30.01","30.98","31.04","32.61","35.02","35.75","35.45","36.56","37.17","40.78","37.22","37.98","39.18","40.22","40.97","41.85","43.6","44.28","45","46.13","47.55","47.56","47.87","48.29","49.64","50.07","53.36","54.47","53.53","50.29","58.89","62.53","66.83","67.25","72.07","73.42","75.43","76.15","67.82","74.86","76.05","80.11","83.69","85.24","89.74","91.95","94.76","99.13","97.65","101.01","101.34","101.34","101.58","","",
"Albania","ALB","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","22.93","23.25","23.15","22.76","23.51","24.27","27.52","25.61","25.89","26.58","28.13","27.54","28.8","29.63","29.83","31.75","32.51","35.9","37.19","38.16","39.83","39.93","40.32","38.96","38.43","37.99","40.47","44.19","46.57","51.01","49.78","55.97","60.17","70.92","80.22","81.58","72.09","73.38","77.55","81.89","83.71","86.07","89.38","92.51","89.8","91.36","94.86","87.27","87.83","89.75","93.41","96.68","98.5","98.35","100.24","101.41","101.39","105.58","","",
"Andorra","AND","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","4.21908259416246","4.27084259315199","4.48188233002159","4.44937309338103","4.57365160970175","4.80741017998886","4.99132531074102","5.27014978518035","5.23304634516696","5.25972567421294","5.3562377566737","5.3669022591757","5.65576639647281","5.82649062527564","6.04736289754339","6.39582594666494","6.78272433897443","7.26822717431105","7.94720739651339","8.58138065254221","9.26807634542047","8.98507553503458","8.96958477531856","8.12639892236504","9.25728611680399","8.78815032511134","8.41034582342677","8.718192591871","9.21051197381956","9.54764534623531","10.1186720079912","10.7318313393814","11.2426272324388","12.7822581578145","13.7663290969659","13.9589909461515","14.7857779003747","16.1429090809768","17.6228642462276","18.7216698113786","19.8958454107899","21.0102720046946","22.0678390911482","22.2188820466191","22.8319629202864","22.4228545438496","22.3908852750974","22.8965564246238","22.8810280363957","23.2452230644746","23.2501735324025","0.977417808400107","0.943044149179548","1.03460839516573","","","","","","",
"United Arab Emirates","ARE","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","6.94","6.96","7.13","7.37","7.56","7.75","7.87","8.27","8.6","8.99","9.41","9.3","10.14","9.66","8.79","6.44","7.58","8.9","9.26","10.78","11.76","13.27","15.61","16.4","17.38","18.84","19.81","20.81","21.88","23.54","24.84","26.29","27.87","31.63","32.78","37.21","38.38","39.23","36.37","43.45","45.21","50.82","48.47","49.96","55.9","54.4","55.76","65.07","69.69","78.91","80.71","84.4","84.8","101.2","91.57","107.23","107.53","119.04","","",
"Argentina","ARG","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","59.22","63.46","68.5","57.67","57.93","65.38","69.11","69.89","76.04","70.38","59.67","63.59","61.98","62.25","68.21","75.62","76.83","82.25","79.56","75.99","77.9","70.68","68.62","70.79","76.15","79.17","72.99","70.59","72.5","79.54","78.08","76.45","80.19","82.1","82.09","81.68","82.61","79.74","87.3","86.49","80.97","76.79","79.34","87.07","94.5","95.53","98.45","99.06","104.76","92.5","93.49","95.98","100.09","98.11","103.23","98.66","103.11","108.23","","",
"Armenia","ARM","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.66","51.99","51.88","53.45","54.01","54.01","56.22","55.9","57.6","56.66","58.7","62.13","66.8","70.28","75.81","79.54","82.96","81.75","80.95","80.91","82.1","87.82","94.97","100.68","104.35","105.68","100.81","","",
"American Samoa","ASM","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","116.15","101.82","128.68","158.62","193.12","192.56","125.16","108.41","95.16","93.23","84.65","85.97","85.7","93.36","92.83","103.5","104.71","97.08","97.73","112.65","96.13","94.39","94.12","94.46","94.8","95.67","95.87","95.98","96.71","96.92","97.71","97.97","98.81","98.7","98.7","98.7","98.7","99.42","99.43","99.44","99.45","99.46","99.13","98.91","98.13","99.45","100.8","99.64","100.05","100.79","98.56","98.32","98.06","99.97","99.98","100.05","99.94","100.07","","",
"Antigua and Barbuda","ATG","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","97.05","72.44","89.17","106.73","100.54","102.04","92.63","93.77","101.22","102.42","131.13","127.03","122.15","119.68","102.7","109.36","120.71","162.83","179.93","216.28","199.08","192.1","200.02","196.45","232.89","234.42","234.86","234.81","202.54","212.93","252.52","224.55","254.37","256.43","232.51","225.52","222.25","220.6","246.15","248.67","261.86","239.51","270.59","272.53","279.06","280.62","257.73","258.17","238.1","100.85","107.77","96.01","98.89","103.35","97.83","98.82","102.33","95.08","","",
"Australia","AUS","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","49.83","54.54","57","59.31","60.21","58.42","58.36","59.6","62.25","67.29","68.68","73.31","71.15","63.23","69.56","75.37","76.25","78.97","76.47","70.18","68.73","69.69","70.31","66.3","68.66","72.3","76.71","78.23","76.85","83.6","83.39","81.69","83.07","84.21","81.81","80.16","83.27","86.99","89.26","91.16","91.07","92.13","85.89","87.52","88.03","91.01","90.56","87.61","86.67","85.7","86.21","88.27","94.87","100.67","102.18","97.15","90.97","95.31","","",
"Austria","AUT","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","67.09","70.99","72.15","72.34","72.39","72.12","77.29","79.7","79.73","79.59","80.77","79.48","79.83","83.82","84.86","86.07","86.28","88","92.23","93.44","94.25","95.57","95.71","100.53","99.93","100.58","101.02","98.12","96.67","97.58","95.71","96.12","94.48","93.2","86.88","89.84","89.2","90.14","91.79","92.53","93.28","92.96","92.36","91.54","89.79","91.1","92.41","93.53","95.57","97.13","97.7","97.66","98.02","98.46","100.17","101.37","101.61","103.48","","",
"Azerbaijan","AZE","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.46","41.3","38.64","39.13","40.86","43.66","47.33","49.55","51.72","53.9","56.73","59.84","62.86","64.74","66.78","69.99","72.23","80.36","86.12","87.98","91.76","95","96.98","99.33","103.69","104.76","107.16","","",
"Burundi","BDI","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","38.34","39.02","39.09","40.42","43.65","45.33","48.33","50.37","56.46","57.21","58.78","63.41","65.99","67.17","72.07","81.69","75.09","75.43","74.55","71.86","63","64.12","67.05","68.37","65.73","75.04","76.14","81.33","81.68","71.38","79.71","76.97","77.14","72.95","61.63","57.94","53.68","56.48","68.02","62.11","57.95","57","57.53","53.57","69.75","81.92","77.76","74.18","79.84","80.38","85.37","99.53","81.91","96.5","102.14","101.36","107.81","104.45","","",
"Belgium","BEL","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.3","98.36","98.26","94.91","94.01","89.72","90.93","91.2","87.5","87.24","92.88","92.71","91.29","94.44","97.11","102.11","100.79","101.43","100.55","","",
"Benin","BEN","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","17.67","18.59","20.65","22.12","22.79","24.12","25.49","25.82","27.28","27.58","27.66","29.05","29.75","32.2","34.84","36.03","35.92","37.71","38.91","41.61","42.64","45.47","50.37","53.67","57.11","49.52","48.28","45.97","43.97","44.98","49.48","50.84","51.51","55.13","52.6","55.32","55.92","59.18","58.33","67.98","68.29","71.73","72","77.6","80.24","79.14","81.46","74.4","70.6","82.62","88.22","91.3","96.27","97.15","100.16","102.69","107.3","109.94","","",
"Burkina Faso","BFA","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","20.29","21.14","21.69","22.99","26.38","24.7","25.2","25.65","26.57","27.23","28.84","25.91","20.66","19.53","22.1","20.65","20.96","23.21","25.32","24.91","25.14","26.54","29.32","30.11","33.57","34.85","36.13","36.87","39.46","53.7","51.83","52.56","54.01","55.59","57.2","58.89","60.63","62.45","63.91","66.26","68.27","70.44","85.57","88.09","91.68","94.43","96.03","97.9","100.46","103.22","105.43","107.47","109.36","103.9","96","100.09","98.94","100.9","","",
"Bangladesh","BGD","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","26.72","27.89","28.87","30.11","30.76","31.02","31.89","32.79","33.94","34.97","34.99","35.14","34.83","35.61","36.41","38.14","38.69","44.28","45.55","32.7","33.45","34.66","35.76","36.18","39.89","41.36","42.65","44.51","45.41","47.98","45.32","46.99","49.25","51.87","54.05","56.7","60.45","60.13","61.57","63.08","64.35","67.25","69.81","71.59","75.27","76.95","79.01","81.47","81.81","85.72","88.39","91.32","92.73","98.42","100.73","100.85","109.38","111.02","","",
"Bulgaria","BGR","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","140.88","144.98","143.94","157.63","176.44","189.6","199.96","208.65","199.25","197.48","207.28","215.49","219.03","220.63","233.58","249.61","251.41","261.15","279.44","281.72","287.4","296.76","306.63","313.89","311.12","318.93","316.4","316.9","316.22","302.47","254.16","236.37","209.92","177.2","178.59","187.1","173.51","184.58","194.82","188.42","112.14","122.13","115.42","123.55","122.7","123.67","114.3","112.52","111.39","108.91","107.75","105.66","104.65","100.12","99.37","100.51","97.3","97.63","","",
"Bahrain","BHR","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","3.3","3.38","3.37","3.3","3.99","3.86","4.06","3.5","4.12","4.47","3.86","4.37","5.21","5.38","7.82","8.84","9.36","10.95","13.2","16.52","11.6","16.94","15.11","18.55","21.38","16.83","25.93","16.82","18.69","18.11","17.94","20.9","23.22","16.46","15.62","16.56","25.8","23.96","25.89","31.08","25.09","25.78","23.33","20.41","22.36","23.26","25.99","26.43","32.95","29.01","47.77","75.74","103.74","97.67","98.14","104.18","117.56","117.41","","",
"Bahamas, The","BHS","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","26.16","26.89","28.46","30.53","33.8","37.15","37.77","38.05","31.57","29.12","30.8","29.72","63.17","68.79","64.5","73.75","49.05","40.59","33.13","32.65","46.52","41.81","40.62","42.81","45.81","43.91","51.07","51.82","56.43","56.25","47.23","53","51.5","44.64","77.01","102.54","84.68","127.12","123.44","68.64","72.79","73.48","85.3","85.97","86.96","86.72","86.06","87.06","92.04","93.51","97.88","91.97","93.59","98.96","103.04","98.01","97.86","98.98","","",
"Bosnia and Herzegovina","BIH","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.41","76.74","65.43","56.76","37.68","51.28","64.83","58.9","61.64","57.57","57.96","61.86","75.15","85.12","91.58","99.78","106.13","111.61","108.92","108.79","110.26","102.98","99.29","100.62","100.09","93.62","90.5","","",
"Belarus","BLR","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.42","85.5","80.8","72.31","68.66","69.7","72.19","67.8","62.27","66.01","64.55","62.62","66.64","74.06","78.87","80.52","83.33","90.08","92.16","92.53","96.25","98.75","95.49","101.81","102.7","104.14","104.84","","",
"Belize","BLZ","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","11.18","11.62","12.44","12.6","13.84","14.36","15.12","15.5","12.76","13.61","17.28","17.76","22.24","20.63","19.72","23.83","23.81","23.73","25.87","27.32","28.28","27.98","36.72","37.98","37.98","40.75","41.76","42.28","27.52","43.04","43.69","48.04","34.57","44.81","46.67","47.53","46.91","46.62","51.16","51.76","75.3","80.33","82.21","86.49","77.81","77.54","76.01","74.67","76.89","79.04","79.14","82.82","92.32","95.47","101.52","103.01","105.14","110.73","","",
"Bermuda","BMU","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","157.4","167.18","180.11","193.07","179.63","199.22","205.78","188.08","164.43","158.63","159.98","126.72","100.91","85.24","88.58","86.5","82.34","83.38","89.86","100.78","102.25","103.99","107.03","102.56","101.41","96.67","104.54","105.24","109.23","121.17","113.92","104.58","103.11","95.7","88.08","85.56","89.21","92.79","93.15","94.02","94.77","98.04","96.56","91.42","89.8","93.4","95.97","102.75","100.97","95.7","97.42","99.11","97.32","99.34","100.88","99.78","99.16","99.46","","",
"Bolivia","BOL","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","14.23","14.65","14.9","14.86","15.29","16.04","16.34","16.48","17.12","19.76","20.22","22.51","23.17","23.72","25.26","26.29","27.47","27.96","29.57","34.21","33.18","33.36","34.12","32.37","34.41","33.14","34.72","37.45","39.27","44.67","40.13","39.81","41.26","44.23","47.02","48.37","49.78","52.15","53.35","54.11","54.45","57.97","59.4","61.65","65.59","74","84.6","87.22","78.71","84.31","85.35","86.8","88.17","90.75","105.04","104.21","111.43","111.83","","",
"Brazil","BRA","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","11","11.21","11.33","12.15","12.82","12.86","13.16","14.4","15.14","15.47","15.36","16.83","17.66","17.5","18.74","20.32","20.53","21.6","22.89","25.39","26.23","26.56","27.46","28.08","28.94","30.22","32.22","34.24","35.36","35.82","39.13","41.12","42.51","44.99","49.56","52.94","53.11","54.02","58.64","61.25","63.48","67.57","70.44","75.7","77.95","81.17","84.81","87.47","87.19","90.63","92.66","94.25","97.93","99.89","100.21","99.9","102.42","106.5","","",
"Barbados","BRB","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","23.48","23.09","24.71","25.79","25.07","25.94","26.44","27.43","31.5","34.23","38.29","40.69","45","49.44","49.64","52.71","56.43","64.69","66.4","69.48","72.54","75.39","69.43","70.96","68.02","72.7","79.5","81.79","95","94.37","92.04","80.72","77.59","73.86","80.27","92.61","86.4","86.19","84.52","78.93","80.87","76.89","83.31","89.15","95.04","90.55","97.66","94.58","96.21","95.39","94.91","94.94","91.5","94.53","103.7","101.77","102.72","105.99","","",
"Brunei Darussalam","BRN","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","4.73","7.89","7.23","5.81","4.7","5.17","5.06","5.79","6.63","7.49","8.46","6.65","7.26","10.62","9.25","10.38","11.29","9.95","11.11","14.86","16.68","18.32","18.97","20.32","31.24","24.24","16.95","13.57","16.7","12.45","14.93","23.35","22.99","24.81","24.79","19.85","28.66","35.14","44.82","50.86","60.03","67.63","65.45","61.33","42.57","79.2","83.54","86.3","86.44","90.72","98.09","100.03","108.94","100.7","97.93","101.37","98.91","100.17","","",
"Bhutan","BTN","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","16.75","17.98","19.12","19.63","20.14","20.44","21.02","21.41","22.07","22.64","23.16","23.71","24.15","24.86","25.56","26.34","26.94","27.64","28.07","29.06","29.79","30.84","32.12","33.37","34.61","33.81","35.06","35.38","36.68","38.94","108.68","101.94","101.21","102.81","112.34","111","111.79","112.13","119.65","110.11","101.99","108.7","104","105.04","114.01","112.63","111.8","99.23","103.68","103.79","103.23","103.07","103.6","103.71","97.49","98.8","101.28","96.5","","",
"Botswana","BWA","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","38.59","43.34","47.88","53.65","53.07","54","54.11","54.02","53.82","62.09","62.17","63.36","61.96","59.15","59.21","63.99","62.34","50.53","69.29","49.22","64.18","69.72","64.74","73.43","70","68.67","60.52","60.77","64.25","70.93","114.86","107.73","100.51","96.23","116.72","103.78","101.53","98.36","88.56","99.57","106.46","92.52","90.92","101.95","104.82","103.41","106","111.03","117.62","128.86","130.95","132.15","120.08","101.3","103.63","95.07","91.49","96.46","","",
"Central African Republic","CAF","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","9.76","10.07","10.42","10.59","11.1","11.14","12.31","11.73","12.96","13.79","14.59","14.75","15.36","16.14","17.47","17.15","18.44","20.19","19.55","22.19","23.65","25.48","28.09","28.62","31.03","32.39","37.74","40.17","41.11","41.73","43.33","45.32","46.04","47.05","50.22","58.85","53.4","54.52","55.09","66.3","66.65","68.71","67.41","72.57","74.61","76.72","81.49","82.57","84.58","88.37","93.77","95.03","96.93","98.41","98.8","102.8","104.53","105.16","","",
"Canada","CAN","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","57.05","56.81","57.4","59.83","64.31","63.73","63.6","65.36","64.31","66.37","66.18","66.96","65.55","66.06","68.23","72.2","73.13","71.61","69.26","72.57","73.01","75.61","74.99","76.54","78.05","76.73","76.11","80.17","80.37","81.95","72.14","73.81","72.73","76.11","78.22","80.54","83.59","89.07","94.29","96.09","98.09","100.26","97.49","106.52","106.04","102.88","101.52","103.25","101.44","102.7","99.94","98.92","98.17","98.82","98.66","102.52","105.47","106.53","","",
"Central Europe and the Baltics","CEB","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.164411302014068","0.15497433906417","0.143060119302536","0.141727851469141","0.142371792333531","0.140435709943237","0.142383498359025","0.140333054358016","0.135456057912366","0.130491865089547","0.134994926369128","0.137148734764258","0.133671607350985","0.134394549318159","0.136487699284616","0.139085110589332","0.133447909884446","0.13253383100443","0.130633289104179","0.13089039076907","0.130192325740291","0.127302711594039","0.132756502943472","","","","","","",
"Switzerland","CHE","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","68.59","70.43","70.18","69.19","71.33","72.89","75.7","79.53","77.87","79.81","79.55","80.27","82.3","86","85.47","89.17","90.24","90.34","94.24","96.7","94.39","96.27","95.97","98.45","99.82","100.33","98.85","95.93","98.55","98.53","99.71","97.61","95.87","93.22","95.42","93.4","91.88","93.6","93.07","90.23","93.32","93.94","93.06","93.12","93.87","94.52","95.15","97.14","98.58","99.96","101.01","100.11","98.87","100.4","100.28","99.33","98.23","99.68","","",
"Channel Islands","CHI","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
